Name,AI summary,Date,Numers,Type of drink
Ricompensa leggera,,21/02/2025,1,Gin Tonic
Serata chill,,22/02/2025,1,Birra
Festa pazza fil 1,,01/03/2025,4,Shot
Festa pazza fil 2,,01/03/2025,2,Jeagerbomb
Festa pazza fil 3,,01/03/2025,1,Vodka tonic
Festa pazza fil 4,,01/03/2025,2,Gin Tonic
Festa pazza fil 5,,01/03/2025,1,Birra
Giorni a prad 1,,02/01/2025,3,Screwdriver
Giorni a prad 2,,03/01/2025,1,Cuba libre
Giorni a prad 3,,04/01/2025,1,Gin Tonic
Uscita a rivoli,,08/03/2025,1,Birra
Cena,,15/03/2025,1,Moscow mule
Cinema e bar,,15/03/2025,1,Birra
Compleanno Erison,,19/03/2025,1,Birra
Pub,,22/03/2025,1,Birra
Per studiare,,28/03/2025,1,Rum amaretto sour
Cena,,29/03/2025,1,Birra
Laurea Mari,,01/04/2025,1,Spriss
Festa laurea Mari 1,,05/04/2025,1,Birra
Festa laurea Mari 2,,05/04/2025,1,Gin Tonic
Festa laurea Mari 3,,05/04/2025,2,Wombo Combo
Pub,,11/04/2025,1,Birra
Cena vigna,,12/04/2025,1,Birra
Pasquetta 1,,21/04/2025,2,Birra
Pasquetta 2,,21/04/2025,1,Shot
Pre cinema,,24/04/2025,2,Spriss
Film,,25/04/2025,1,Vodka tonic
Biliardo,,26/04/2025,1,Birra
Mare 1,,02/05/2025,1,Birra
Mare 2,,02/05/2025,1,Gin Tonic
Mare 3,,02/05/2025,1,Shot
mare 1,,03/05/2025,1,Birra
mare 2,,03/05/2025,2,Gin Tonic
mare 3,,03/05/2025,2,Vodka tonic
Clancys,,10/05/2025,1,Birra
Pick-up 1,,15/05/2025,1,Shot
Pick-up 2,,15/05/2025,1,Gin Tonic
Pick-up 3,,15/05/2025,1,Jeagerbomb
Pick-up 4,,15/05/2025,1,Wombo Combo
Festa mare 1,,17/05/2025,1,Birra
Festa mare 2,,17/05/2025,1,Gin Tonic
Partita,,25/05/2025,1,Birra
Seratina,,28/05/2025,1,Birra
Champions 1,,31/05/2025,2,Birra
Champions 2,,31/05/2025,1,Cosmopolitan
Compleanno dema,,07/06/2025,1,Birra
Cena elementari,,10/06/2025,1,Birra
Aperitivo Mari,,11/06/2025,1,Spriss
Sera,,13/06/2025,1,Wombo Combo
Partita,,22/06/2025,1,Birra
Digestivo,,21/06/2025,1,Shot
Cena luigina/roberto,,01/07/2025,1,Spriss
Cena luigina/roberto,,01/07/2025,1,Birra
Cena luigina/roberto,,01/07/2025,1,Shot
Clancys,,04/07/2025,2,Birra
Cena Marco e Silvia,,10/07/2025,2,Spriss
Pizza amici tettoia,,12/07/2025,1,Birra
Laurea Giacomo,,16/07/2025,1,Gin Tonic
Laurea Giacomo,,16/07/2025,1,Vodka tonic
Festa giacomo,,17/07/2025,1,Birra
Madrid,,18/07/2025,2,Birra
Aperitivo rooftop,,19/07/2025,1,Dry martini
Cena,,19/07/2025,1,Birra
Prima cena casa,,21/07/2025,2,Birra
Cena,,22/07/2025,1,Birra
Terraza 11 1,,22/07/2025,1,Birra
Pre terraza 11 1,,22/07/2025,1,Shot
Wet sunday,,23/07/2025,3,Granizado
Cena+sagsa,,24/07/2025,4,Birra
Pre sagsa,,24/07/2025,1,Shot
Festa casa 1,,26/07/2025,2,Birra
Festa casa 2,,26/07/2025,1,Granizado
Cena,,29/07/2025,1,Birra
Cena italiana 1,,30/07/2025,1,Birra
Cena italiana 2,,30/07/2025,1,Shot
Chiva 1,,01/08/2025,4,Vodka redbull
Chiva 2,,01/08/2025,2,Gin Tonic
Cena,,03/08/2025,1,Birra
Preserata,,05/08/2025,1,Birra
Medellin pranzo,,07/08/2025,1,Birra
Serata,,09/08/2025,2,Birra
Medellin 1,,08/08/2025,2,Birra
Medellin 2,,08/08/2025,1,Shot
Cena,,11/08/2025,1,Birra
Petronio,,14/08/2025,2,Shot
Cena,,13/08/2025,1,Birra
“Ferragosto” 1,,15/08/2025,3,Birra
“Ferragosto” 2,,15/08/2025,2,Punch
Cena,,18/08/2025,1,Birra
Cena lasagne,,20/08/2025,2,Birra
Festa boho 1,,22/08/2025,4,Birra
Festa boho 2,,22/08/2025,2,Gin Tonic
Festa 1,,23/08/2025,2,Birra
Festa 2,,23/08/2025,3,Shot
Cena,,01/09/2025,1,Birra
Studio + cena,,03/09/2025,1,Birra
Disco 1,,05/09/2025,2,Vodka redbull
Disco 2,,05/09/2025,3,Shot
Disco 3,,05/09/2025,1,Birra
